单量,对称-2人×3h,对称-2人×4h,非对称-1人3h+1人2h,非对称-1人3h+1人2.5h,非对称-1人3h+1人1.5h
10单,-163.0,-223.0,-133.0,-148.0,-118.0
15单,-153.0,-213.0,-123.0,-138.0,-108.0
20单,-143.0,-203.0,-113.0,-128.0,-98.0
25单,-133.0,-193.0,-103.0,-118.0,-88.0
30单,-123.0,-183.0,,-108.0,
35单,-113.0,-173.0,,,
40单,,-163.0,,,
45单,,-73.0,,,
50单,,-63.0,,,
55单,,,,,
60单,,,,,
65单,,,,,
70单,,,,,
75单,,,,,
80单,,,,,
