点位,最新单量,当前配置,当前日亏(推广期),当前日亏(常规期),最简配置(2人×3h)BE推广期,最简配置(2人×3h)BE常规期,单量缺口(推广期),单量缺口(常规期)
万科欧泊,46,3人×3.0h,-158,-181,N/A,N/A,N/A,N/A
绿地星玥,151,5人×6.5h,-521,-596,N/A,N/A,N/A,N/A
和业广场,36,2人×3.0h,-93,-111,N/A,N/A,N/A,N/A
华林国际C馆,3,2人×3.0h,-176,-177,N/A,N/A,N/A,N/A
万菱广场,41,2人×3.0h,-1,-21,N/A,N/A,N/A,N/A
金鹰大厦,20,2人×3.0h,-133,-143,N/A,N/A,N/A,N/A
